Test Num,Sample,Freq Start,Freq Stop,Temp,
1,TSiNK65,300,1.00E+06,40.5,
2,TSiNK65,300,1.00E+06,40.5,
3,TSiNK65,300,1.00E+06,39.5,
4,TSiNK65,300,1.00E+06,39.5,
5,TSiNK65,300,1.00E+06,36.1,
6,TSiNK65,300,1.00E+06,36.1,
7,TSiNK65,300,1.00E+06,35.1,
8,TSiNK65,300,1.00E+06,35.1,
9,TSiNK65,300,1.00E+06,34.1,
10,TSiNK65,300,1.00E+06,34.1,
11,TSiNK65,300,1.00E+06,33,
12,TSiNK65,300,1.00E+06,33,
13,TSiNK65,300,1.00E+06,31.9,
14,TSiNK65,300,1.00E+06,31.9,
15,TSiNK65,300,1.00E+06,30.9,
16,TSiNK65,300,1.00E+06,30.9,
17,TSiNK65,300,1.00E+06,29.9,
18,TSiNK65,300,1.00E+06,29.9,
19,TSiNK65,300,1.00E+06,29,
20,TSiNK65,300,1.00E+06,29,
21,TSiNK65,300,1.00E+06,28,
22,TSiNK65,300,1.00E+06,28,
23,TSiNK65,300,1.00E+06,27,
24,TSiNK65,300,1.00E+06,27,
25,TSiNK65,300,1.00E+06,25.9,
26,TSiNK65,300,1.00E+06,25.9,
27,TSiNK65,300,1.00E+06,25.5,
28,TSiNK65,300,1.00E+06,25.5,
29,TSiNK65,300,1.00E+06,25.2,
30,TSiNK65,300,1.00E+06,25.2,
31,TSiNK65,300,1.00E+06,25,
32,TSiNK65,300,1.00E+06,25,
33,TSiNK65,300,1.00E+06,24.6,
34,TSiNK65,300,1.00E+06,24.6,
35,TSiNK65,300,1.00E+06,24.4,
36,TSiNK65,300,1.00E+06,24.4,
37,TSiNK65,300,1.00E+06,24,
38,TSiNK65,300,1.00E+06,24,
39,TSiNK65,300,1.00E+06,23.5,
40,TSiNK65,300,1.00E+06,23.5,
41,TSiNK65,300,1.00E+06,22.9,
42,TSiNK65,300,1.00E+06,22.9,
43,TSiNK65,300,1.00E+06,22,
44,TSiNK65,300,1.00E+06,22,
45,TSiNK65,300,1.00E+06,21,
46,TSiNK65,300,1.00E+06,21,
47,TSiNK65,300,1.00E+06,20.1,
48,TSiNK65,300,1.00E+06,20.1,
49,TSiNK65,300,1.00E+06,19.2,
50,TSiNK65,300,1.00E+06,19.2,
,,,, ,
,,,,,32
